threshold,accuracy,balanced_accuracy,f1_macro,recall_belum_kompeten,Population,Scenario,Model
0.3,0.8061224489795918,0.6199200532978015,0.6359726295210166,0.3157894736842105,P2,S3,RandomForest
0.35,0.7959183673469388,0.6135909393737509,0.6265243902439024,0.3157894736842105,P2,S3,RandomForest
0.4,0.8061224489795918,0.6598934043970686,0.6695652173913044,0.42105263157894735,P2,S3,RandomForest
0.45,0.7857142857142857,0.6472351765489673,0.6501784803671596,0.42105263157894735,P2,S3,RandomForest
0.5,0.7755102040816326,0.6608927381745503,0.6544871794871795,0.47368421052631576,P2,S3,RandomForest
0.55,0.7142857142857143,0.6229180546302465,0.6023188405797102,0.47368421052631576,P2,S3,RandomForest
0.6,0.6938775510204082,0.6102598267821452,0.5861486486486487,0.47368421052631576,P2,S3,RandomForest
0.65,0.6428571428571429,0.5786142571618921,0.5474336983770945,0.47368421052631576,P2,S3,RandomForest
0.7,0.6224489795918368,0.605929380413058,0.5514041816157367,0.5789473684210527,P2,S3,RandomForest
0.3,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.35,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.4,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.45,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.5,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.55,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.6,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.65,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.7,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S4,Dummy
0.3,0.7653061224489796,0.6345769487008661,0.6318797974848931,0.42105263157894735,P2,S4,LogisticRegression
0.35,0.7551020408163265,0.6282478347768155,0.6230769230769231,0.42105263157894735,P2,S4,LogisticRegression
0.4,0.7346938775510204,0.6155896069287141,0.6060606060606061,0.42105263157894735,P2,S4,LogisticRegression
0.45,0.7346938775510204,0.6355762824783477,0.6190191387559809,0.47368421052631576,P2,S4,LogisticRegression
0.5,0.7244897959183674,0.6292471685542971,0.6105960264900663,0.47368421052631576,P2,S4,LogisticRegression
0.55,0.7040816326530612,0.6165889407061959,0.594173925460517,0.47368421052631576,P2,S4,LogisticRegression
0.6,0.6530612244897959,0.5849433710859427,0.5550213675213675,0.47368421052631576,P2,S4,LogisticRegression
0.65,0.6224489795918368,0.5859427048634244,0.542345071311372,0.5263157894736842,P2,S4,LogisticRegression
0.7,0.6224489795918368,0.5859427048634244,0.542345071311372,0.5263157894736842,P2,S4,LogisticRegression
0.3,0.7448979591836735,0.6019320453031313,0.5998693450922751,0.3684210526315789,P2,S4,DecisionTree
0.35,0.7244897959183674,0.5892738174550299,0.5836349331235248,0.3684210526315789,P2,S4,DecisionTree
0.4,0.7244897959183674,0.5892738174550299,0.5836349331235248,0.3684210526315789,P2,S4,DecisionTree
0.45,0.7346938775510204,0.6555629580279814,0.6307246376811594,0.5263157894736842,P2,S4,DecisionTree
0.5,0.7346938775510204,0.6555629580279814,0.6307246376811594,0.5263157894736842,P2,S4,DecisionTree
0.55,0.7346938775510204,0.6555629580279814,0.6307246376811594,0.5263157894736842,P2,S4,DecisionTree
0.6,0.7346938775510204,0.6555629580279814,0.6307246376811594,0.5263157894736842,P2,S4,DecisionTree
0.65,0.7142857142857143,0.6628914057295137,0.6241095890410959,0.5789473684210527,P2,S4,DecisionTree
0.7,0.7142857142857143,0.6628914057295137,0.6241095890410959,0.5789473684210527,P2,S4,DecisionTree
0.3,0.826530612244898,0.6125916055962691,0.6348893271970195,0.2631578947368421,P2,S4,RandomForest
0.35,0.8163265306122449,0.6062624916722185,0.625,0.2631578947368421,P2,S4,RandomForest
0.4,0.826530612244898,0.6525649566955363,0.6742913000977517,0.3684210526315789,P2,S4,RandomForest
0.45,0.8061224489795918,0.639906728847435,0.6538390035322551,0.3684210526315789,P2,S4,RandomForest
0.5,0.7959183673469388,0.6735509660226515,0.6735509660226515,0.47368421052631576,P2,S4,RandomForest
0.55,0.7346938775510204,0.6555629580279814,0.6307246376811594,0.5263157894736842,P2,S4,RandomForest
0.6,0.7040816326530612,0.6365756162558294,0.6054421768707483,0.5263157894736842,P2,S4,RandomForest
0.65,0.6632653061224489,0.6312458361092605,0.5829787234042554,0.5789473684210527,P2,S4,RandomForest
0.7,0.6020408163265306,0.6332445036642238,0.5511450381679389,0.6842105263157895,P2,S4,RandomForest
0.3,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S5,Dummy
0.35,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S5,Dummy
0.4,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S5,Dummy
0.45,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S5,Dummy
0.5,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S5,Dummy
0.55,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S5,Dummy
0.6,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S5,Dummy
0.65,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S5,Dummy
0.7,0.8061224489795918,0.5,0.4463276836158192,0.0,P2,S5,Dummy
0.3,0.7755102040816326,0.580946035976016,0.5891768292682926,0.2631578947368421,P2,S5,LogisticRegression
0.35,0.7755102040816326,0.6009327115256495,0.6085693536673928,0.3157894736842105,P2,S5,LogisticRegression
0.4,0.7551020408163265,0.6282478347768155,0.6230769230769231,0.42105263157894735,P2,S5,LogisticRegression
0.45,0.7448979591836735,0.661892071952032,0.6394407652685798,0.5263157894736842,P2,S5,LogisticRegression
0.5,0.7244897959183674,0.6492338441039307,0.622161930601171,0.5263157894736842,P2,S5,LogisticRegression
0.55,0.6428571428571429,0.5986009327115256,0.5577047066408769,0.5263157894736842,P2,S5,LogisticRegression
0.6,0.6020408163265306,0.5932711525649568,0.5358834244080146,0.5789473684210527,P2,S5,LogisticRegression
0.65,0.5918367346938775,0.6069287141905396,0.5359848484848485,0.631578947368421,P2,S5,LogisticRegression
0.7,0.5408163265306123,0.59526982011992,0.5030985915492958,0.6842105263157895,P2,S5,LogisticRegression
0.3,0.8163265306122449,0.7061958694203864,0.7061958694203864,0.5263157894736842,P2,S5,DecisionTree
0.35,0.8061224489795918,0.6998667554963358,0.695900702270129,0.5263157894736842,P2,S5,DecisionTree
0.4,0.8061224489795918,0.6998667554963358,0.695900702270129,0.5263157894736842,P2,S5,DecisionTree
0.45,0.7959183673469388,0.6935376415722851,0.6858974358974359,0.5263157894736842,P2,S5,DecisionTree
0.5,0.7959183673469388,0.6935376415722851,0.6858974358974359,0.5263157894736842,P2,S5,DecisionTree
0.55,0.7959183673469388,0.6935376415722851,0.6858974358974359,0.5263157894736842,P2,S5,DecisionTree
0.6,0.7959183673469388,0.6935376415722851,0.6858974358974359,0.5263157894736842,P2,S5,DecisionTree
0.65,0.7551020408163265,0.6682211858760826,0.6483253588516746,0.5263157894736842,P2,S5,DecisionTree
0.7,0.7142857142857143,0.64290473017988,0.6137387387387387,0.5263157894736842,P2,S5,DecisionTree
0.3,0.826530612244898,0.6125916055962691,0.6348893271970195,0.2631578947368421,P2,S5,RandomForest
0.35,0.826530612244898,0.6325782811459026,0.6559983481313235,0.3157894736842105,P2,S5,RandomForest
0.4,0.826530612244898,0.6525649566955363,0.6742913000977517,0.3684210526315789,P2,S5,RandomForest
0.45,0.8163265306122449,0.6662225183211192,0.6797385620915033,0.42105263157894735,P2,S5,RandomForest
0.5,0.8163265306122449,0.7061958694203864,0.7061958694203864,0.5263157894736842,P2,S5,RandomForest
0.55,0.7857142857142857,0.6872085276482345,0.6761605035405193,0.5263157894736842,P2,S5,RandomForest
0.6,0.7346938775510204,0.6555629580279814,0.6307246376811594,0.5263157894736842,P2,S5,RandomForest
0.65,0.7142857142857143,0.6628914057295137,0.6241095890410959,0.5789473684210527,P2,S5,RandomForest
0.7,0.6326530612244898,0.6322451698867422,0.5676470588235294,0.631578947368421,P2,S5,RandomForest
